k,x_n,f(x_n),Erro Estimado
1,65656565665.000000000000000,283031313137328029822117017026560.000000000000000,21885521888.333333335816860
2,43771043776.666666664183140,83861129818467564375449314263040.000000000000000,14590347925.555555554106832
3,29180695851.111111110076308,24847742168434833893094284328960.000000000000000,9726898617.037037035450339
4,19453797234.074074074625969,7362293975832543377014403366912.000000000000000,6484599078.024691358208656
5,12969198156.049382716417313,2181420437283716555989525200896.000000000000000,4323066052.016460904851556
6,8646132104.032921811565757,646346796232212313028314529792.000000000000000,2882044034.677640603855252
7,5764088069.355281207710505,191510161846581426078009524224.000000000000000,1921362689.785093735903502
8,3842725379.570187471807003,56743751658246348464854138880.000000000000000,1280908459.856729157269001
9,2561816919.713458314538002,16812963454295214357053702144.000000000000000,853938973.237819438101724
10,1707877946.475638876436278,4981618801272656104739831808.000000000000000,569292648.825212958501652
11,1138585297.650425917934626,1476035200377083290248544256.000000000000000,379528432.550141972256824
12,759056865.100283945677802,437343763074691345051287552.000000000000000,253018955.033427981310524
13,506037910.066855964367278,129583337207315953975558144.000000000000000,168679303.355618653935380
14,337358606.711237310431898,38395062876241764057874432.000000000000000,112452868.903745768824592
15,224905737.807491541607305,11376314926293855967903744.000000000000000,74968579.269163845223375
16,149937158.538327696383931,3370759978161142475784192.000000000000000,49979052.846109229161812
17,99958105.692218467222119,998743697232931081814016.000000000000000,33319368.564072817960550
18,66638737.128145649261569,295924058439386972372992.000000000000000,22212912.376048543083016
19,44425824.752097106178553,87681202500559093063680.000000000000000,14808608.250699025389622
20,29617216.501398080788931,25979615555721206175744.000000000000000,9872405.500466011922981
21,19744811.000932068865950,7697663868361834479616.000000000000000,6581603.666977333778959
22,13163207.333954735086991,2280789294329429513344.000000000000000,4387735.777984877930976
23,8775471.555969857156015,675789420542051239168.000000000000000,2925157.185323235072246
24,5850314.370646622083768,200233902382828696752.000000000000000,1950104.790215464725406
25,3900209.580431157358362,59328563668985413792.000000000000000,1300069.860143605165376
26,2600139.720287552192985,17578833679698804054.000000000000000,866713.240095679799765
27,1733426.480191872393220,5208543312502964142.000000000000000,577808.826730367734058
28,1155617.653461504659163,1543272092593214051.750000000000000,385205.884486783623743
29,770411.768974721035420,457265805212632959.562500000000000,256803.922990996783597
30,513607.845983724251823,135486164507332666.453125000000000,171202.615327042739523
31,342405.230656681512301,40144048742837291.300781250000000,114135.076884262482707
32,228270.153772419029593,11894532960789950.907226562500000,76090.051255525967122
33,152180.102516893062472,3524306062422462.653564453125000,50726.700836043766060
34,101453.401680849296412,1044238833287812.808105468750000,33817.800555902162678
35,67635.601124947133734,309404098736913.105865478515625,22545.200368410852278
36,45090.400756536281456,91675288504619.534919738769531,15030.133575654532123
37,30060.267180881749333,27163048439131.839860916137695,10020.089045506959089
38,20040.178135374790244,8048310644176.987038135528564,6680.059356276444049
39,13360.118779098346195,2384684632341.488282918930054,4453.372893090273855
40,8906.745886008072340,706573222416.904849767684937,2968.915245415258667
41,5937.830640592813673,209355027543.453887209296227,1979.276805300699291
42,3958.553835292114381,62031118391.159558769315481,1319.517832716559917
43,2639.036002575554464,18379590046.668905824422836,879.678498874196220
44,1759.357503701358244,5445804066.007638152688742,586.452248077815817
45,1172.905255623542427,1613571313.171466089901514,390.968038403372282
46,781.937217220170145,478095028.842535354633583,260.645167957985954
47,521.292049262184191,141657669.184742704368546,173.763157702995079
48,347.528891559189112,41972564.196471874212875,115.841671175822526
49,231.687220383366586,12436262.535140284860972,77.227124093093732
50,154.460096290272853,3684782.908196391443880,51.483751416829031
51,102.976344873443823,1091763.348489701900007,34.320974852585055
52,68.655370020858768,323468.883689504844739,22.878295227846611
53,45.777074793012157,95831.163557454207663,15.248517361485471
54,30.528557431526685,28386.339181170326249,10.159827508556034
55,20.368729922970652,8404.946286252328583,6.763697942361024
56,13.605031980609627,2486.039114656681890,4.493188082589154
57,9.111843898020473,733.293523037847232,2.967873307424350
58,6.143970590596123,214.636962315281175,1.929405576430813
59,4.214565014165310,61.432326570548609,1.197799019725516
60,3.016765994439793,16.421684461017888,0.649010940168837
61,2.367755054270957,3.538749805992891,0.238801503396749
62,2.128953550874207,0.391453989395628,0.033753803736868
63,2.095199747137340,0.007238217036384,0.000648029127891
64,2.094551718009449,0.000002639313414,0.000000236467091
