k,x_n,f(x_n),Erro Estimado
1,10000000000000.000000000000000,999999999999999999993126004485993267200.000000000000000,3333333333333.333333015441895
2,6666666666666.666666984558105,296296296296296296340718023440747986944.000000000000000,2222222222222.222222328186035
3,4444444444444.444444656372070,87791495198902606323858923392581238784.000000000000000,1481481481481.481481552124023
4,2962962962962.962963104248047,26012294873748920390546463961347260416.000000000000000,987654320987.654320955276489
5,1975308641975.308642148971558,7707346629258939376172352363695177728.000000000000000,658436213991.769547343254089
6,1316872427983.539094805717468,2283658260521167222724376272731897856.000000000000000,438957475994.513031601905823
7,877914951989.026063203811646,676639484598864362278028881692721152.000000000000000,292638317329.675354361534119
8,585276634659.350708842277527,200485773214478329619905204753268736.000000000000000,195092211553.116902947425842
9,390184423106.233805894851685,59403192063549134704696134534692864.000000000000000,130061474368.744601964950562
10,260122948737.489203929901123,17600945796607151023071569536614400.000000000000000,86707649579.163067981600761
11,173415299158.326135948300362,5215095050846563265636579900653568.000000000000000,57805099719.442045316100121
12,115610199438.884090632200241,1545213348398981708357614413283328.000000000000000,38536733146.294696882367134
13,77073466292.589393749833107,457840992118216802352533331771392.000000000000000,25691155430.863131247460842
14,51382310861.726262502372265,135656590257249422935232415268864.000000000000000,17127436953.908754166215658
15,34254873907.817508336156607,40194545261407236431281001594880.000000000000000,11418291302.605836112052202
16,22836582605.211672224104404,11909494892268810794820133978112.000000000000000,7612194201.737224075011909
17,15224388403.474448149092495,3528739227338906901944953995264.000000000000000,5074796134.491482716053724
18,10149592268.982965433038771,1045552363655972415513265438720.000000000000000,3383197422.994321811012924
19,6766394845.988643622025847,309793292935102937901859602432.000000000000000,2255464948.662881207186729
20,4510929897.325762414839119,91790605314104574199824646144.000000000000000,1503643299.108587471302599
21,3007286598.217174943536520,27197216389364318285644955648.000000000000000,1002428866.072391647612676
22,2004857732.144783295923844,8058434485737575789134610432.000000000000000,668285910.714927765075117
23,1336571821.429855530848727,2387684292070392826251182080.000000000000000,445523940.476618509972468
24,891047880.953237020876259,707462012465301577822896128.000000000000000,297015960.317745673120953
25,594031920.635491347755305,209618374063793059986931712.000000000000000,198010640.211830448504770
26,396021280.423660899250535,62109147870753499165753344.000000000000000,132007093.474553631967865
27,264014186.949107267282670,18402710480223258952073216.000000000000000,88004728.983035754077719
28,176009457.966071513204952,5452654957103187798523904.000000000000000,58669819.322023835207801
29,117339638.644047677997150,1615601468771314877333504.000000000000000,39113212.881349222210702
30,78226425.762698455786449,478696731487796983300096.000000000000000,26075475.254232812912960
31,52150950.508465642873489,141836068588976872366080.000000000000000,17383650.169488539104350
32,34767300.338977103769139,42025501804141287784448.000000000000000,11589100.112992355139795
33,23178200.225984748629344,12452000534560376413184.000000000000000,7726066.741994897034601
34,15452133.483989851594743,3689481639869737725696.000000000000000,5150711.161329921768811
35,10301422.322659929825932,1093179745146586666688.000000000000000,3433807.440886600131307
36,6867614.881773329694624,323905109673061189920.000000000000000,2289204.960591045182355
37,4578409.921182284512270,95971884347572668464.000000000000000,1526136.640393997763340
38,3052273.280788286748930,28436113880761593856.000000000000000,1017424.426929283305299
39,2034848.853859003443631,8425515223928908950.000000000000000,678282.951286116064352
40,1356565.902572887379279,2496448955237893784.250000000000000,452188.634190634834226
41,904377.268382252545052,739688579329545332.312500000000000,301459.089460259409293
42,602918.178921993135759,219166986467879448.718750000000000,200972.726306593885170
43,401945.452615399250590,64938366360763847.484375000000000,133981.817537360673327
44,267963.635078038577262,19240997440166776.408203125000000,89321.211691020902705
45,178642.423387017674557,5701036278528234.136718750000000,59547.474459851272854
46,119094.948927166401702,1689195934352269.200073242187500,39698.316305323500075
47,79396.632621842901628,500502499049694.029693603515625,26465.544201682928332
48,52931.088420159973296,148297036743701.137313842773438,17643.696131656067823
49,35287.392288503905473,43939862731031.472026824951172,11762.464083571637421
50,23524.928204932268052,13019218581743.229886054992676,7841.642716081922220
51,15683.285488850345832,3857546242955.967635631561279,5227.761801271272566
52,10455.523687579073266,1142976662254.799961328506470,3485.174520003011644
53,6970.349167576061621,338659750228.937210679054260,2323.449658728900078
54,4646.899508847161543,100343628663.522245667874813,1548.966407228645129
55,3097.933101618516414,29731444840.206642867997289,1032.644223567670637
56,2065.288878050845777,8809316529.441476994194090,688.429410428946169
57,1376.859467621899607,2610167553.310185911366716,458.952832198895934
58,917.906635423003674,773382773.483025774592534,305.968392302314416
59,611.938243120689257,229150314.119807227951242,203.978683631806135
60,407.959559488883123,67896297.414859570562840,135.985420378461687
61,271.974139110421435,20117359.721269799792935,90.656389681234575
62,181.317749429186860,5960657.587563352982670,60.436747872597064
63,120.881001556589796,1766092.607990408408000,40.289876242287244
64,80.591125314302552,523267.493333319186121,26.857936428919071
65,53.733188885383481,155028.983481451735869,17.902212347922153
66,35.830976537461328,45925.255440291065533,11.929949640800283
67,23.901026896661045,13600.876742741878314,7.945471095691398
68,15.955555800969647,4025.050469520426559,5.284026386259742
69,10.671529414709905,1188.947145596147648,3.500562279129781
70,7.170967135580124,349.409056978124495,2.294693224884878
71,4.876273910695247,101.195723641435758,1.459536688245253
72,3.416737222449993,28.053834491417631,0.849542633359888
73,2.567194589090106,6.784676104431177,0.381773614020331
74,2.185420975069775,1.066870325719704,0.086539056829188
75,2.098881918240587,0.048451816117040,0.004319916131859
76,2.094562002108728,0.000117425342225,0.000010520504090
77,2.094551481604638,0.000000000695484,0.000000000062311
